Producto,Kcal,Grasa,Grasas saturadas,Carbohidratos,Azucares,Proteina,Sal,Supermercado
Plátano,97.6923076923077,0.3,0.0,22.8,10.76923076923077,1.0999999999999999,0.0,mercadona
Macarrones,361.0,1.5,0.4,72.0,3.5000000000000004,13.0,0.01,mercadona
Garbanzos Cocidos,90.0,2.2,0.5,9.5,0.7,5.5,2.0,mercadona
Leche Semidesnatada,46.0,1.6,1.1199999999999999,4.8,4.8,3.1199999999999997,0.052000000000000005,mercadona
Aguacate,160.0,15.0,2.1,8.5,0.7,2.0,0.0,mercadona
Pechuga Fileteada de Pollo,110.00000000000001,2.1,0.7,0.0,0.0,22.0,0.14,mercadona
Leche Desnatada,34.0,0.32,0.2,4.8,4.8,3.1199999999999997,0.132,mercadona
Atún en Aceite de Oliva,245.00000000000003,18.000000000000004,2.9000000000000004,0.9000000000000001,0.5,21.0,0.0,mercadona
Fresa o Freson,32.0,0.4,0.0,5.51,0.0,0.8100000000000002,0.0,mercadona
Aceite de Oliva Virgen Extra,822.0000000000001,91.0,13.0,0.0,0.0,0.0,0.0,mercadona
Leche Entera,63.0,3.6000000000000005,2.4,4.6,4.6,3.1,0.32,mercadona
Pechuga de Pavo Finas Lonchas,80.0,0.8,0.0,1.3,0.0,17.9,0.0,mercadona
Queso Havarti Light en Lonchas,268.0,17.0,12.0,1.6,0.52,27.0,1.6,mercadona
Atún Claro al Natural ,96.66666666666667,1.0,0.3,1.0,0.5,21.0,4.583333333333333,mercadona
Crema de Cacahuetes Cremosa,618.0,50.0,6.800000000000001,7.000000000000001,3.6000000000000005,30.0,0.0,mercadona
Tomate Pera,20.0,0.0,0.0,4.0,0.0,0.0,0.0,mercadona
Claras de Huevo Pasteurizadas,42.0,0.1,0.0,0.5,0.0,11.0,0.3,mercadona
Lomo Embuchado Extra,199.0,5.0,1.9,0.5,0.5,38.0,3.0,mercadona
Jamón Cocido Extra,101.0,2.5,0.9000000000000001,0.9000000000000001,0.9000000000000001,18.6,1.87,mercadona
Tomate Frito,77.0,3.5000000000000004,0.3,9.5,6.9,1.5,1.0,mercadona
Queso Fresco Batido Desnatado 0%,46.0,0.1,0.1,3.5000000000000004,3.5000000000000004,8.0,0.0,mercadona
Lentejas Cocidas,89.0,0.4,0.1,10.7,0.5,8.2,0.8,mercadona
Tortitas de Maíz,366.66666666666663,1.6666666666666667,0.33333333333333337,80.0,1.0,7.666666666666666,1.2666666666666666,mercadona
Arroz Blanco,345.0,0.7,0.2,77.0,0.5,7.200000000000001,0.0,mercadona
Chocolate Negro 85%,575.0,46.0,27.999999999999996,22.000000000000004,15.0,12.0,0.0,mercadona
Atún Claro al Natural,83.0,0.9000000000000001,0.0,0.7,0.0,16.0,0.9000000000000001,mercadona
Almendra Natural,603.0,50.9,3.9,5.4,5.4,25.3,0.0,mercadona
Pechuga de Pavo Finas Lonchas,78.0,0.5,0.3,0.6,0.6,17.8,1.38,mercadona
Zanahoria,34.0,0.3,0.05,7.000000000000001,6.800000000000001,0.8,0.17,mercadona
Pan de Molde Integral,239.6551724137931,3.4482758620689653,0.6896551724137931,40.0,3.96551724137931,10.0,1.103448275862069,mercadona
Yogur Natural,62.4,3.44,2.2399999999999998,4.079999999999999,4.079999999999999,3.6799999999999997,0.08,mercadona
Yogur Griego Natural,129.0,10.8,6.7,3.9,3.9,3.9,0.12,mercadona
Arroz Basmati,355.0,0.6,0.2,78.0,0.5,9.0,0.02,mercadona
Tortilla de Patata con Cebolla,153.0,8.4,1.4,14.000000000000002,1.1,5.0,1.2,mercadona
Barra de Pan,298.0,1.2,0.2,57.99999999999999,2.7,10.3,4.75,mercadona
Lomo Embuchado,199.0,5.0,1.9,0.5,0.5,38.0,12.0,mercadona
Leche Desnatada,35.0,0.3,0.2,4.9,4.9,3.2,0.32,mercadona
