Producto,Kcal,Grasa,Carbohidratos,Proteina,Sal,Supermercado,Saturada%,Azucares%
Plátano,97.6923076923077,0.3,22.8,1.1,0.0,mercadona,0.0,47.23346828609986
Macarrones,361.0,1.5,72.0,13.0,0.01,mercadona,26.666666666666668,4.861111111111112
Garbanzos Cocidos,90.0,2.2,9.5,5.5,2.0,mercadona,22.727272727272727,7.368421052631578
Leche Semidesnatada,46.0,1.6,4.8,3.12,0.052,mercadona,70.0,100.0
Aguacate,160.0,15.0,8.5,2.0,0.0,mercadona,14.000000000000002,8.235294117647058
Pechuga Fileteada de Pollo,110.0,2.1,0.0,22.0,0.14,mercadona,33.33333333333333,
Leche Desnatada,34.0,0.32,4.8,3.12,0.132,mercadona,62.5,100.0
Atún en Aceite de Oliva,245.00000000000003,18.000000000000004,0.9000000000000001,21.0,0.0,mercadona,16.11111111111111,55.55555555555555
Fresa o Freson,32.0,0.4,5.51,0.8100000000000002,0.0,mercadona,0.0,0.0
Aceite de Oliva Virgen Extra,822.0000000000001,91.0,0.0,0.0,0.0,mercadona,14.285714285714285,
Leche Entera,63.0,3.6000000000000005,4.6,3.1,0.32,mercadona,66.66666666666666,100.0
Pechuga de Pavo Finas Lonchas,80.0,0.8,1.3,17.9,0.0,mercadona,0.0,0.0
Queso Havarti Light en Lonchas,268.0,17.0,1.6,27.0,1.6,mercadona,70.58823529411765,32.5
Atún Claro al Natural ,96.66666666666669,1.0,1.0,21.0,4.583333333333333,mercadona,30.0,50.0
Crema de Cacahuetes Cremosa,618.0,50.0,7.000000000000001,30.0,0.0,mercadona,13.6,51.42857142857144
Tomate Pera,20.0,0.0,4.0,0.0,0.0,mercadona,,0.0
Claras de Huevo Pasteurizadas,42.0,0.1,0.5,11.0,0.3,mercadona,0.0,0.0
Lomo Embuchado Extra,199.0,5.0,0.5,38.0,3.0,mercadona,38.0,100.0
Jamón Cocido Extra,101.0,2.5,0.9000000000000001,18.6,1.87,mercadona,36.00000000000001,100.0
Tomate Frito,77.0,3.5000000000000004,9.5,1.5,1.0,mercadona,8.57142857142857,72.63157894736842
Queso Fresco Batido Desnatado 0%,46.0,0.1,3.5000000000000004,8.0,0.0,mercadona,100.0,100.0
Lentejas Cocidas,89.0,0.4,10.7,8.2,0.8,mercadona,25.0,4.672897196261683
Tortitas de Maíz,366.6666666666666,1.6666666666666667,80.0,7.666666666666666,1.2666666666666666,mercadona,20.0,1.25
Arroz Blanco,345.0,0.7,77.0,7.200000000000001,0.0,mercadona,28.571428571428577,0.6493506493506493
Chocolate Negro 85%,575.0,46.0,22.000000000000004,12.0,0.0,mercadona,60.86956521739131,68.18181818181816
Atún Claro al Natural,83.0,0.9000000000000001,0.7,16.0,0.9000000000000001,mercadona,0.0,0.0
Almendra Natural,603.0,50.9,5.4,25.3,0.0,mercadona,7.662082514734774,100.0
Zanahoria,34.0,0.3,7.000000000000001,0.8,0.17,mercadona,16.666666666666668,97.14285714285714
Pan de Molde Integral,239.6551724137931,3.4482758620689653,40.0,10.0,1.103448275862069,mercadona,20.000000000000004,9.913793103448274
Yogur Natural,62.4,3.44,4.079999999999999,3.68,0.08,mercadona,65.11627906976744,100.0
Yogur Griego Natural,129.0,10.8,3.9,3.9,0.12,mercadona,62.03703703703704,100.0
Arroz Basmati,355.0,0.6,78.0,9.0,0.02,mercadona,33.333333333333336,0.641025641025641
Tortilla de Patata con Cebolla,153.0,8.4,14.000000000000002,5.0,1.2,mercadona,16.666666666666664,7.857142857142857
Barra de Pan,298.0,1.2,57.99999999999999,10.3,4.75,mercadona,16.666666666666668,4.655172413793104
Lomo Embuchado,199.0,5.0,0.5,38.0,12.0,mercadona,38.0,100.0
Chocolate Negro 85% (8g),575.0,46.25,22.5,12.5,0.0,mercadona,59.45945945945946,66.66666666666666
Jamón York,102.0,3.2,7.1,11.3,4.5,mercadona,34.375,12.676056338028172
